,country,lang,project,id,adm0,adm1,adm2,adm3,adm4,name,address,municipality,lat,lon,lat_int,lon_int,image,commonscat,source,changed,monument_article,registrant_url
0,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21000001001755,bytearray(b'se'),bytearray(b'se-o'),Skövde,,,[[Vaholms bro]] (Skövde Vaholm 3:1),[[Vaholm]],Skövde,58.58737,14.00023,1172.0,280.0,Tidan vid vaholms brohus.JPG,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_V%C3%A4stra_G%C3%B6talands_l%C3%A4n&oldid=34704927,2016-06-08 06:51:53,Vaholms_bro,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21000001001755
1,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21000001107600,bytearray(b'se'),bytearray(b'se-f'),Värnamo,,,[[Bruno Mathssons villa]] (Rolstorp 5:4),"Södrakull, Tånnö",Värnamo,57.06516,14.0398,1141.0,281.0,,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_J%C3%B6nk%C3%B6pings_l%C3%A4n&oldid=33805579,2016-06-08 06:51:51,Bruno_Mathssons_villa,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21000001107600
2,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21000001216420,bytearray(b'se'),bytearray(b'se-g'),Tingsryd,,,[[Linneryds kyrkstallar och sockenstuga]] (Linneryd 3:5),,Tingsryd,56.65667,15.13033,1133.0,303.0,,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_Kronobergs_l%C3%A4n&oldid=30292084,2016-06-08 06:51:50,Linneryds_kyrkstallar_och_sockenstuga,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21000001216420
3,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21000001274563,bytearray(b'se'),bytearray(b'se-o'),Vänersborg,,,[[Hjobergs krukmakeri]] (Flicksäter 2:23),,Vänersborg,58.52426,12.14671,1170.0,243.0,,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_V%C3%A4stra_G%C3%B6talands_l%C3%A4n&oldid=34704927,2016-06-08 06:51:53,Hjobergs_krukmakeri,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21000001274563
4,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21000001297203,bytearray(b'se'),bytearray(b'se-z'),Krokom,,,Fjällglim (Åkersjön 1:37),,Krokom,63.76881,14.06227,1275.0,281.0,,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_J%C3%A4mtlands_l%C3%A4n&oldid=33809899,2016-06-08 06:52:02,,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21000001297203
5,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21000001302200,bytearray(b'se'),bytearray(b'se-i'),Gotland,,,[[Briggen 2|Kv Briggen 2]] (Visby Briggen 2),S:t Hansgatan 55,Gotland,57.64253,18.2951,1153.0,366.0,21000001302200 St Hansgatan 55.jpg,Briggen 2,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_Gotlands_l%C3%A4n&oldid=30817085,2016-06-08 06:52:06,Briggen_2,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21000001302200
6,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21000001302240,bytearray(b'se'),bytearray(b'se-i'),Gotland,,,[[Briggen 5|Kv Briggen 5]] (Visby Briggen 5),"Specksrum 8, Valvgränd 1",Gotland,57.64229,18.29458,1153.0,366.0,Briggen 5 Specksrum 8 Visby.jpg,Briggen 5,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_Gotlands_l%C3%A4n&oldid=30817085,2016-06-08 06:52:06,Briggen_5,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21000001302240
7,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21000001308800,bytearray(b'se'),bytearray(b'se-x'),Söderhamn,,,[[Erik-Anders i Asta]] (Ellne 1:21),,Söderhamn,61.27243,16.99355,1225.0,340.0,Erik-Anders 1.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_G%C3%A4vleborgs_l%C3%A4n&oldid=30647415,2016-06-08 06:52:01,Erik-Anders_i_Asta,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21000001308800
8,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21000001434060,bytearray(b'se'),bytearray(b'se-e'),Linköping,,,"[[Konsistoriehuset, Linköping|Domkapitelhuset]] (Aposteln 1)",,Linköping,58.41232,15.61529,1168.0,312.0,Domkapitelhuset.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_%C3%96sterg%C3%B6tlands_l%C3%A4n&oldid=31532679,2016-06-08 06:51:53,"Konsistoriehuset,_Linköping",http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21000001434060
9,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21000001439681,bytearray(b'se'),bytearray(b'se-e'),Linköping,,,"[[Biskopsgården, Linköping|Biskopsgården]] (Aposteln 2)",,Linköping,58.41191,15.61684,1168.0,312.0,Biskopsgården.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_%C3%96sterg%C3%B6tlands_l%C3%A4n&oldid=31532679,2016-06-08 06:51:53,"Biskopsgården,_Linköping",http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21000001439681
