,bbr,namn,region-iso,funktion,byggar,arkitekt,plats,kommun,lat,lon,bild,commonscat,source,changed,monument_article,registrant_url
0,21300000013342,[[Ekolsunds f.d. värdshus]] (Ekolsund 3:7),SE-C,Gästgivargård (1 byggnad),1770-talet,,,Enköping,59.65269,17.36559,Ekolsunds_vardshus.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_Uppsala_l%C3%A4n&oldid=30716291,2016-06-08 06:51:46,Ekolsunds_f.d._värdshus,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000013342
1,21300000013350,[[Ekolsunds slott]] (Ekolsund 1:227; f.d. 1:102),SE-C,"Herrgård,Livsmedelsindustri,Bageri,Säteri (3 byggnader)",1630-talet,,,Enköping,59.65075,17.36639,Ekolsund_2.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_Uppsala_l%C3%A4n&oldid=30716291,2016-06-08 06:51:46,Ekolsunds_slott,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000013350
2,21300000013330,[[Gryta majorsboställe]] (Gryta 5:3),SE-C,"Boställe,Officersboställe (3 byggnader)",1732,,,Enköping,59.73956,17.34746,Gryta_majorsboställe.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_Uppsala_l%C3%A4n&oldid=30716291,2016-06-08 06:51:46,Gryta_majorsboställe,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000013330
3,21300000013705,[[Grönsö slott]] (Grönsö 1:1),SE-C,Slott (2 byggnader),1610,,,Enköping,59.47225,17.24542,Grönsö_slott.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_Uppsala_l%C3%A4n&oldid=30716291,2016-06-08 06:51:46,Grönsö_slott,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000013705
4,21300000013363,"[[Härnevi kvarn|Härnevi kvarn och såg]] (Stora Härnevi 2:2, 11:1 och Kylsta 8:2)",SE-C,"Kvarn,Industrikvarn,Såg (10 byggnader)",1864,,,Enköping,59.73355,17.05979,Härnevi_kvarn.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_Uppsala_l%C3%A4n&oldid=30716291,2016-06-08 06:51:46,Härnevi_kvarn,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000013363
5,21300000013318,[[Kvekgården]] (Kvek 2:34 och 2:36),SE-C,Bondgård (10 byggnader),1855,,,Enköping,59.7271,17.2668,Kvekgården_4.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_Uppsala_l%C3%A4n&oldid=30716291,2016-06-08 06:51:46,Kvekgården,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000013318
6,21300000013308,[[Landsberga översteboställe]] (Landsberga 1:1),SE-C,"Boställe,Officersboställe (5 byggnader)",1801,,,Enköping,59.74088,17.18004,Landsberga_gård.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_Uppsala_l%C3%A4n&oldid=30716291,2016-06-08 06:51:46,Landsberga_översteboställe,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000013308
7,21300000013701,[[Salnecke slott]] (Salnecke 1:10),SE-C,Slott (4 byggnader),1640-talet,,,Enköping,59.73921,17.33841,Salnecke_slott.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_Uppsala_l%C3%A4n&oldid=30716291,2016-06-08 06:51:46,Salnecke_slott,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000013701
8,21300000013520,[[Utö hus|Utöhus]] (Utö 2:1; f.d. Utöhus 1:1),SE-C,Slott (1 byggnad),1400-talet,,,Enköping,59.47294,17.23204,Utöhus_1.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_Uppsala_l%C3%A4n&oldid=30716291,2016-06-08 06:51:46,Utö_hus,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000013520
9,21300000013537,[[Veckholms gamla prästgård]] (Veckholm 1:8; f.d. 1:1),SE-C,"Boställe,Prästgård,Hembygdsgård (3 byggnader)",1700-talets mitt,,,Enköping,59.52292,17.32079,Veckholm_prästgård.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_Uppsala_l%C3%A4n&oldid=30716291,2016-06-08 06:51:46,Veckholms_gamla_prästgård,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000013537
10,21300000013101,"[[Huddungeby]], [[Anders Olsgården]] (Huddungeby 3:19)",SE-C,Bondgård (2 byggnader),1835,,,Heby,60.04171,16.98149,Huddungeby Anders Ols.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_Uppsala_l%C3%A4n&oldid=30716291,2016-06-08 06:51:46,Huddungeby,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000013101
11,21300000013107,[[Harbonäs]] säteri (Harbonäs 2:1),SE-C,Säteri (1 byggnad),1637,,,Heby,60.13771,17.29727,Harbonäs 2.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_Uppsala_l%C3%A4n&oldid=30716291,2016-06-08 06:51:46,Harbonäs,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000013107
12,21300000013105,"[[Huddungeby]], [[Jan Ers-gården]] (Huddungeby 3:20)",SE-C,Bondgård (4 byggnader),1840-talet,,,Heby,60.04174,16.98228,Huddungeby Jan Ers.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_byggnadsminnen_i_Uppsala_l%C3%A4n&oldid=30716291,2016-06-08 06:51:46,Huddungeby,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000013105
